Date,High,Low,Open,Close,Volume,Adj Close
2000-10-31,1432.2199707,1398.66003418,1398.66003418,1429.40002441,1366400000,1429.40002441
2000-11-01,1429.59997559,1410.44995117,1429.40002441,1421.2199707,1206800000,1421.2199707
2000-11-02,1433.40002441,1421.2199707,1421.2199707,1428.31994629,1167700000,1428.31994629
2000-11-03,1433.20996094,1420.92004395,1428.31994629,1426.68994141,997700000,1426.68994141
2000-11-06,1438.45996094,1427.7199707,1428.76000977,1432.18994141,930900000,1432.18994141
2000-11-07,1436.2199707,1423.26000977,1432.18994141,1431.86999512,880900000,1431.86999512
2000-11-08,1437.2800293,1408.7800293,1431.86999512,1409.2800293,909300000,1409.2800293
2000-11-09,1409.2800293,1369.68005371,1409.2800293,1400.14001465,1111000000,1400.14001465
2000-11-10,1400.14001465,1365.9699707,1400.14001465,1365.97998047,962500000,1365.97998047
2000-11-13,1365.97998047,1328.61999512,1365.97998047,1351.26000977,1129300000,1351.26000977
2000-11-14,1390.06005859,1351.26000977,1351.26000977,1382.94995117,1118800000,1382.94995117
2000-11-15,1395.95996094,1374.75,1382.94995117,1389.81005859,1066800000,1389.81005859
2000-11-16,1394.76000977,1370.39001465,1389.81005859,1372.31994629,956300000,1372.31994629
2000-11-17,1384.84997559,1355.55004883,1372.31994629,1367.7199707,1070400000,1367.7199707
2000-11-20,1367.7199707,1341.67004395,1367.7199707,1342.61999512,955800000,1342.61999512
2000-11-21,1355.86999512,1333.61999512,1342.61999512,1347.34997559,1137100000,1347.34997559
2000-11-22,1347.34997559,1321.89001465,1347.34997559,1322.35998535,963200000,1322.35998535
2000-11-24,1343.82995605,1322.35998535,1322.35998535,1341.77001953,404870000,1341.77001953
2000-11-27,1362.5,1341.77001953,1341.77001953,1348.9699707,946100000,1348.9699707
2000-11-28,1358.81005859,1334.9699707,1348.9699707,1336.08996582,1028200000,1336.08996582
2000-11-29,1352.38000488,1329.2800293,1336.08996582,1341.93005371,402100000,1341.93005371
2000-11-30,1341.91003418,1294.90002441,1341.91003418,1314.94995117,1186530000,1314.94995117
2000-12-01,1334.67004395,1307.02001953,1314.94995117,1315.22998047,1195200000,1315.22998047
2000-12-04,1332.06005859,1310.22998047,1315.18005371,1324.9699707,1103000000,1324.9699707
2000-12-05,1376.56005859,1324.9699707,1324.9699707,1376.54003906,900300000,1376.54003906
2000-12-06,1376.54003906,1346.15002441,1376.54003906,1351.45996094,1399300000,1351.45996094
2000-12-07,1353.5,1339.26000977,1351.45996094,1343.55004883,1128000000,1343.55004883
